# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.0,2.15,0.0,0,2.0,0,180.0,0.0,0.0
 0.0648329827840487,2.0042033156566768,2.15,0.0,0.12966596556809737,1.9999999999999996,0,180.0,0.0,0.0
 0.09286523595769763,2.008623952049479,2.15,0.0,0.18573047191539524,2.0,0,180.0,0.0,0.0
 0.11515254145615882,2.0132601078038124,2.15,0.0,0.2303050829123176,2.0,0,180.0,0.0,0.0
 0.13457333147799394,2.018109981545086,2.15,0.0,0.2691466629559878,1.9999999999999987,0,180.0,0.0,0.0
 0.15222277063142436,2.0231717718987072,2.15,0.0,0.3044455412628487,2.0,0,180.0,0.0,0.0
 0.1686525347870106,2.028443677490084,2.15,0.0,0.3373050695740211,2.0,0,180.0,0.0,0.0
 0.18418441015629736,2.033923896944623,2.15,0.0,0.36836882031259466,2.0,0,180.0,0.0,-1.9152377222225146e-12
 0.19902419171480926,2.039610628887733,2.15,0.0,0.39804838342961846,2.0,0,179.99999999999997,0.0,1.9892076500554744e-12
 0.21331214673529764,2.045502071944821,2.15,0.0,0.4266242934705952,2.0,0,180.0,0.0,0.0
 0.2271484640962712,2.051596424741295,2.15,0.0,0.45429692819254236,2.0,0,180.0,0.0,0.0
 0.24060732720048775,2.0578918859025626,2.15,0.0,0.48121465440097544,2.0,0,180.0,0.0,0.0
 0.25374525424928074,2.064386654054032,2.15,0.0,0.5074905084985614,1.9999999999999958,0,180.0,0.0,0.0
 0.2666063161688217,2.0710789278211097,2.15,0.0,0.5332126323376433,2.0,0,180.0,0.0,-2.252253793632567e-12
 0.2792255465196623,2.077966905829204,2.15,0.0,0.5584510930393245,2.0,0,179.99999999999997,0.0,2.2910193379366586e-12
 0.2916312512467124,2.085048786703723,2.15,0.0,0.5832625024934247,2.0,0,180.0,0.0,0.0
 0.3038466209620803,2.092322769070074,2.15,0.0,0.6076932419241605,2.0,0,180.0,0.0,0.0
 0.3158908855185039,2.0997870515536645,2.15,0.0,0.6317817710370077,2.0,0,180.0,0.0,0.0
 0.32778015922246156,2.107439832779902,2.15,0.0,0.655560318444923,2.0,0,180.0,0.0,2.4192987336550134e-12
 0.3395280715554975,2.115279311374195,2.15,0.0,0.6790561431109949,2.0,0,180.00000000000003,0.0,-2.446314606223035e-12
 0.35114624583206183,2.1233036859619507,2.15,0.0,0.7022924916641234,1.9999999999999905,0,180.0,0.0,0.0
 0.36264466791692507,2.131511155168577,2.15,0.0,0.72528933583385,2.0000000000000098,0,180.0,0.0,0.0
 0.3740319740603484,2.139899917619481,2.15,0.0,0.7480639481206965,1.9999999999999902,0,180.0,0.0,0.0
 0.38531567829517466,2.1484681719400704,2.15,0.0,0.770631356590349,1.9999999999999902,0,180.0,0.0,-2.540675182686689e-12
 0.3965023540355772,2.157214116755754,2.15,0.0,0.7930047080711541,2.0,0,179.99999999999997,0.0,2.5615698006715e-12
 0.4075977805287196,2.166135950691938,2.15,0.0,0.815195561057439,2.00000000000001,0,180.0,0.0,2.581613473121186e-12
 0.41860706202121273,2.1752318723740314,2.15,0.0,0.8372141240424252,2.0,0,180.00000000000003,0.0,0.0
 0.42953472551988287,2.184500080427441,2.15,0.0,0.8590694510397655,2.0,0,180.00000000000003,0.0,-5.238988045532186e-12
 0.44038480159693827,2.1939387734775746,2.15,0.0,0.8807696031938763,2.0,0,179.99999999999997,0.0,2.637478835445043e-12
 0.45116089164492085,2.20354615014984,2.15,0.0,0.9023217832898414,1.9999999999999898,0,180.0,0.0,0.0
 0.4618662242139437,2.213320409069645,2.15,0.0,0.923732448427887,2.0,0,180.0,0.0,0.0
 0.4725037024853854,2.2232597488623975,2.15,0.0,0.9450074049707706,2.0000000000000107,0,180.0,0.0,0.0
 0.4830759444989,2.233362368153504,2.15,0.0,0.9661518889977998,2.0,0,180.0,0.0,0.0
 0.49358531741571654,2.2436264655683735,2.15,0.0,0.9871706348314329,2.0,0,180.0,0.0,0.0
 0.5040339668439157,2.2540502397324134,2.15,0.0,1.008067933687831,2.0,0,180.0,0.0,0.0
 0.5144238420515045,2.264631889271031,2.15,0.0,1.0288476841030088,2.0,0,180.0,0.0,0.0
 0.5247567177365472,2.275369612809634,2.15,0.0,1.0495134354730942,2.0,0,180.0,0.0,0.0
 0.5350342129001012,2.2862616089736307,2.15,0.0,1.0700684258002022,2.0,0,180.0,0.0,0.0
 0.5452578072695777,2.297306076388428,2.15,0.0,1.0905156145391552,2.0,0,180.0,0.0,0.0
 0.555428855641687,2.308501213679434,2.15,0.0,1.1108577112833737,2.0,0,180.0,0.0,0.0
 0.5655486004509747,2.319845219472056,2.15,0.0,1.131097200901949,2.0,0,180.0,0.0,0.0
 0.5756181828188734,2.331336292391702,2.15,0.0,1.1512363656377467,2.0,0,180.0,0.0,0.0
 0.5856386522966018,2.34297263106378,2.15,0.0,1.1712773045932034,2.0,0,180.0,0.0,0.0
 0.5956109754812252,2.3547524341136965,2.15,0.0,1.1912219509624502,2.0,0,180.0,0.0,0.0
 0.6055360436562475,2.3666739001668606,2.15,0.0,1.2110720873124947,2.0,0,180.0,0.0,0.0
 0.6154146795849766,2.3787352278486793,2.15,0.0,1.230829359169953,2.0,0,180.0,0.0,0.0
 0.6252476435657799,2.3909346157845603,2.15,0.0,1.2504952871315596,2.0,0,180.0,0.0,0.0
